Origin Time:2019/04/09 23:13:21
Lon:121.58°E
Lat:23.98°N
Depth:11.5km
Mag:5.0
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  91.30,AZ= 18.98,PGA(V)=   0.61,PGA(NS)=   1.22,PGA(EW)=   1.27
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  93.46,AZ=101.45,PGA(V)=   0.37,PGA(NS)=   0.45,PGA(EW)=   0.93
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  94.30,AZ= 56.51,PGA(V)=   0.49,PGA(NS)=   1.39,PGA(EW)=   1.24
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  99.66,AZ= 22.83,PGA(V)=   0.64,PGA(NS)=   0.95,PGA(EW)=   0.86
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  99.87,AZ= 12.51,PGA(V)=   0.61,PGA(NS)=   1.87,PGA(EW)=   1.43
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 104.60,AZ= 33.11,PGA(V)=   0.39,PGA(NS)=   0.73,PGA(EW)=   0.86
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 104.66,AZ= 20.90,PGA(V)=   0.68,PGA(NS)=   1.43,PGA(EW)=   1.44
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 106.60,AZ=137.14,PGA(V)=   0.34,PGA(NS)=   0.60,PGA(EW)=   1.13
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 108.35,AZ= 72.53,PGA(V)=   1.04,PGA(NS)=   1.72,PGA(EW)=   1.35
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 115.01,AZ= 14.45,PGA(V)=   0.63,PGA(NS)=   1.87,PGA(EW)=   1.63
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 116.45,AZ= 59.12,PGA(V)=   0.86,PGA(NS)=   1.85,PGA(EW)=   1.85
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 116.49,AZ=160.14,PGA(V)=   0.30,PGA(NS)=   0.90,PGA(EW)=   0.44
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 122.73,AZ=189.35,PGA(V)=   0.63,PGA(NS)=   2.16,PGA(EW)=   2.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 126.03,AZ= 75.21,PGA(V)=   0.50,PGA(NS)=   1.70,PGA(EW)=   1.74
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 126.27,AZ=154.45,PGA(V)=   0.33,PGA(NS)=   0.84,PGA(EW)=   0.77
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 132.53,AZ= 84.41,PGA(V)=   0.39,PGA(NS)=   1.27,PGA(EW)=   0.71
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 143.16,AZ= 74.67,PGA(V)=   0.60,PGA(NS)=   1.29,PGA(EW)=   1.15
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 147.24,AZ= 69.96,PGA(V)=   0.34,PGA(NS)=   0.93,PGA(EW)=   1.02
Stacode=ICHU,Staname=義竹  ,Stalon=120.28,Stalat=23.36,Dist= 149.70,AZ= 62.81,PGA(V)=   0.40,PGA(NS)=   1.01,PGA(EW)=   1.02
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 161.94,AZ= 54.83,PGA(V)=   0.24,PGA(NS)=   0.77,PGA(EW)=   0.89
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 164.52,AZ= 42.66,PGA(V)=   0.59,PGA(NS)=   1.07,PGA(EW)=   0.92
